"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status","Gene","log2TPM1"
"TCGA-KIRC","TCGA-B2-3923-01B-10R-A277-07","TCGA-B2-3923","Primary Tumor","d514c3bc-c1e1-4028-9822-90ad703a3a8d","ENSG00000133216.17","EPHB2",77,0.9976,0.3218,0.3097,"OK","EPHB2",0.998267726378763
"TCGA-KIRC","TCGA-A3-3365-01A-01R-0864-07","TCGA-A3-3365","Primary Tumor","fb449c0c-d752-4110-a41a-c46aa29617ea","ENSG00000133216.17","EPHB2",169,0.9518,0.2777,0.2823,"OK","EPHB2",0.964805228212839
"TCGA-KIRC","TCGA-A3-3311-01A-02R-1325-07","TCGA-A3-3311","Primary Tumor","4845a010-e208-4c1b-85b1-99fbd155edf2","ENSG00000133216.17","EPHB2",548,2.0588,0.7007,0.7049,"OK","EPHB2",1.61296577919391
"TCGA-KIRC","TCGA-BP-4968-01A-01R-1334-07","TCGA-BP-4968","Primary Tumor","60ae8b09-673e-418f-abda-7e3ce228c808","ENSG00000133216.17","EPHB2",263,0.8203,0.2943,0.3451,"OK","EPHB2",0.864176237701529
"TCGA-KIRC","TCGA-BP-4969-01A-01R-1334-07","TCGA-BP-4969","Primary Tumor","6dc1b313-81c8-4b4d-8fcd-07ad3fe499f7","ENSG00000133216.17","EPHB2",75,0.2236,0.0952,0.1164,"OK","EPHB2",0.291132012008753
"TCGA-KIRC","TCGA-B0-4837-01A-01R-1305-07","TCGA-B0-4837","Primary Tumor","450ec77d-c822-4d53-9a2b-bd6e4b6b9a62","ENSG00000133216.17","EPHB2",157,0.6118,0.2367,0.3017,"OK","EPHB2",0.688672738339143
"TCGA-KIRC","TCGA-B0-5098-01A-01R-1420-07","TCGA-B0-5098","Primary Tumor","b59e21e2-af42-41ff-9423-0b3b0af05ccd","ENSG00000133216.17","EPHB2",1338,5.179,1.625,1.7744,"OK","EPHB2",2.62737337344092
"TCGA-KIRC","TCGA-B0-4706-01A-01R-1503-07","TCGA-B0-4706","Primary Tumor","0461aca8-2256-4954-9c65-1b2a92c2b2a1","ENSG00000133216.17","EPHB2",612,2.2296,0.8408,0.9363,"OK","EPHB2",1.69135549193106
"TCGA-KIRC","TCGA-BP-4761-01A-01R-1289-07","TCGA-BP-4761","Primary Tumor","8b3d23b8-cf1f-49ed-bd33-f340984cca9b","ENSG00000133216.17","EPHB2",1165,4.292,1.7191,2.49,"OK","EPHB2",2.40381306161659
"TCGA-KIRC","TCGA-B8-A54H-01A-11R-A33J-07","TCGA-B8-A54H","Primary Tumor","83eb5df9-30fa-4c4f-a062-5ffe6d7f2c3d","ENSG00000133216.17","EPHB2",269,1.0886,0.3136,0.3004,"OK","EPHB2",1.06253621989539
"TCGA-KIRC","TCGA-BP-4165-01A-02R-1289-07","TCGA-BP-4165","Primary Tumor","4962d196-c54d-442d-b7b3-dd34f8082781","ENSG00000133216.17","EPHB2",63,0.2703,0.11,0.1263,"OK","EPHB2",0.345169250856654
"TCGA-KIRC","TCGA-G6-A8L6-01A-11R-A37O-07","TCGA-G6-A8L6","Primary Tumor","8bbda4a1-af04-496f-b047-1d74c29ec19a","ENSG00000133216.17","EPHB2",129,0.8836,0.3164,0.3625,"OK","EPHB2",0.913492627750078
"TCGA-KIRC","TCGA-B0-4810-01A-01R-1503-07","TCGA-B0-4810","Primary Tumor","59f744da-4e53-4cca-a7f1-48a27f91aba1","ENSG00000133216.17","EPHB2",540,2.4038,0.7117,0.7361,"OK","EPHB2",1.76714626984262
"TCGA-KIRC","TCGA-CJ-4916-01A-01R-1426-07","TCGA-CJ-4916","Primary Tumor","6faba44d-0367-4d54-a41e-1f2969760558","ENSG00000133216.17","EPHB2",641,1.8377,0.7465,0.8486,"OK","EPHB2",1.5047220765762
"TCGA-KIRC","TCGA-AK-3431-01A-02R-1277-07","TCGA-AK-3431","Primary Tumor","13b48a2d-dde2-4cd1-b26d-22621a002f5b","ENSG00000133216.17","EPHB2",102,0.7671,0.2124,0.2272,"OK","EPHB2",0.821383684157733
"TCGA-KIRC","TCGA-BP-4803-01A-01R-1305-07","TCGA-BP-4803","Primary Tumor","5a1cd867-8bad-4e36-908a-c82b6ae64083","ENSG00000133216.17","EPHB2",321,1.2714,0.4294,0.4791,"OK","EPHB2",1.18358179111782
"TCGA-KIRC","TCGA-CJ-4639-01A-02R-1325-07","TCGA-CJ-4639","Primary Tumor","000d81dd-9ba4-4852-9090-2bf22f6483f0","ENSG00000133216.17","EPHB2",88,0.7439,0.2016,0.1928,"OK","EPHB2",0.802317314403593
"TCGA-KIRC","TCGA-BP-4338-01A-01R-1289-07","TCGA-BP-4338","Primary Tumor","5b7970e3-9272-4919-beaa-176127e7be10","ENSG00000133216.17","EPHB2",745,2.0431,0.766,1.0589,"OK","EPHB2",1.60554174336077
"TCGA-KIRC","TCGA-B2-3924-01A-02R-A277-07","TCGA-B2-3924","Primary Tumor","df630d23-f007-4cc4-9910-edb44046d556","ENSG00000133216.17","EPHB2",297,1.7031,1.2129,1.0901,"OK","EPHB2",1.43461488473071
"TCGA-KIRC","TCGA-CZ-5466-11A-01R-1503-07","TCGA-CZ-5466","Solid Tissue Normal","200dfa9f-ed6f-4434-9dde-7833f4d3b275","ENSG00000133216.17","EPHB2",748,1.7321,0.6817,0.7632,"OK","EPHB2",1.45001028994711
"TCGA-KIRC","TCGA-CJ-5682-01A-11R-1541-07","TCGA-CJ-5682","Primary Tumor","c6bede90-50d8-4bf5-97e3-6fffe14e723d","ENSG00000133216.17","EPHB2",149,0.8237,0.2775,0.2965,"OK","EPHB2",0.866868424618348
"TCGA-KIRC","TCGA-BP-4998-01A-01R-1334-07","TCGA-BP-4998","Primary Tumor","5d956a24-693e-47ad-b315-180c86a0528e","ENSG00000133216.17","EPHB2",1118,4.3717,1.1969,1.2064,"OK","EPHB2",2.42537873503381
"TCGA-KIRC","TCGA-CW-6090-01A-11R-1672-07","TCGA-CW-6090","Primary Tumor","485e84af-cd91-4096-a2e4-d2594481e5bf","ENSG00000133216.17","EPHB2",519,2.113,0.6145,0.7123,"OK","EPHB2",1.63830557680709
"TCGA-KIRC","TCGA-BP-4346-01A-01R-1289-07","TCGA-BP-4346","Primary Tumor","588a43e3-60a0-416b-9b79-48d863d054bf","ENSG00000133216.17","EPHB2",730,3.2869,1.121,1.1202,"OK","EPHB2",2.09993476397393
"TCGA-KIRC","TCGA-CW-6090-11A-01R-1672-07","TCGA-CW-6090","Solid Tissue Normal","b8f8504c-1d5e-48b3-a54f-88250da4264f","ENSG00000133216.17","EPHB2",440,1.6413,0.5652,0.6114,"OK","EPHB2",1.40124817274016
"TCGA-KIRC","TCGA-CW-5589-11A-01R-1541-07","TCGA-CW-5589","Solid Tissue Normal","78beabfc-8b98-4f21-94c2-cd6c21255f66","ENSG00000133216.17","EPHB2",1004,3.906,1.3106,1.3463,"OK","EPHB2",2.29454723389552
"TCGA-KIRC","TCGA-A3-3367-01A-02R-1420-07","TCGA-A3-3367","Primary Tumor","efde0fd9-7f08-4c33-9e2b-8d9b8cfccf50","ENSG00000133216.17","EPHB2",443,1.4987,0.4877,0.5158,"OK","EPHB2",1.32117769834609
"TCGA-KIRC","TCGA-B0-5400-01A-01R-1503-07","TCGA-B0-5400","Primary Tumor","d6a8b3be-0ea5-4d4f-bf62-27ec684d4705","ENSG00000133216.17","EPHB2",270,1.095,0.3867,0.5147,"OK","EPHB2",1.06695024392463
"TCGA-KIRC","TCGA-CJ-4920-01A-01R-1426-07","TCGA-CJ-4920","Primary Tumor","c85688fc-f98a-4672-b66d-8a28ea94d40b","ENSG00000133216.17","EPHB2",350,1.7043,0.5372,0.5773,"OK","EPHB2",1.43525520506118
"TCGA-KIRC","TCGA-BP-4784-01A-01R-1305-07","TCGA-BP-4784","Primary Tumor","0c5ce27e-46a9-4868-880d-c7e87391cdf9","ENSG00000133216.17","EPHB2",400,2.2181,0.6192,0.642,"OK","EPHB2",1.6862091574046
"TCGA-KIRC","TCGA-CJ-4637-01A-02R-1325-07","TCGA-CJ-4637","Primary Tumor","f8a0a7cf-0444-4039-a255-6d31bcf748ac","ENSG00000133216.17","EPHB2",542,2.6746,0.905,0.9249,"OK","EPHB2",1.87758721337098
"TCGA-KIRC","TCGA-AS-3778-01A-01R-A32Z-07","TCGA-AS-3778","Primary Tumor","dbe1371f-dbf9-46b1-b603-a9e560fb75df","ENSG00000133216.17","EPHB2",468,2.3886,0.6514,0.6464,"OK","EPHB2",1.76068934703879
