"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-E2-A15I",8.5424,1.3102,"JAK3",3.25435216273399,1.20801775489589,2.0463344078381
"TCGA-E2-A15K",13.7948,6.9805,"JAK3",3.88701828881978,2.99647913804195,0.89053915077782
"TCGA-E2-A15M",15.7687,4.7207,"JAK3",4.06769894262976,2.51619168979036,1.5515072528394
"TCGA-E2-A1BC",4.1812,2.4268,"JAK3",2.37328627427302,1.77686199359969,0.59642428067333
"TCGA-E2-A1IG",6.0213,3.6402,"JAK3",2.81173817154363,2.21418698914376,0.597551182399871
"TCGA-E2-A1L7",16.0734,13.7804,"JAK3",4.09367848041757,3.88561340836382,0.208065072053754
"TCGA-E2-A1LB",1.5131,4.1963,"JAK3",1.32946807934977,2.37748472486167,-1.04801664551191
"TCGA-E2-A1LH",12.0538,7.5972,"JAK3",3.70639793563881,3.10386686866848,0.602531066970331
"TCGA-E2-A1LS",0.709,1.1522,"JAK3",0.773152397014052,1.10581215112923,-0.332659754115179
"TCGA-E9-A1N4",9.0037,5.1284,"JAK3",3.32246179332437,2.61551046488412,0.706951328440245
"TCGA-E9-A1N5",8.9277,7.0201,"JAK3",3.31145952007629,3.00362022528427,0.307839294792019
"TCGA-E9-A1N6",3.3618,8.8237,"JAK3",2.12492362013382,3.29626650379433,-1.17134288366051
"TCGA-E9-A1N9",5.2968,3.7535,"JAK3",2.65461884496113,2.2489901604413,0.405628684519824
"TCGA-E9-A1NA",2.0265,8.9864,"JAK3",1.59765035104811,3.31996469421647,-1.72231434316835
"TCGA-E9-A1ND",17.5815,5.4039,"JAK3",4.21579506351925,2.67895077964828,1.53684428387097
"TCGA-E9-A1NF",4.8324,3.7844,"JAK3",2.5440896665488,2.25833801116904,0.285751655379764
"TCGA-E9-A1NG",8.273,4.0422,"JAK3",3.21303615491729,2.33405334415552,0.878982810761772
"TCGA-E9-A1R7",1.2159,2.4622,"JAK3",1.14789277635129,1.79168906689809,-0.643796290546806
"TCGA-E9-A1RB",3.7632,4.367,"JAK3",2.25193112668859,2.42411588811098,-0.172184761422391
"TCGA-E9-A1RC",0.895,1.4013,"JAK3",0.922197848396367,1.26381565407864,-0.341617805682272
"TCGA-E9-A1RD",2.1498,3.4006,"JAK3",1.65526022601937,2.13770024147961,-0.482440015460238
"TCGA-E9-A1RF",7.6793,1.6586,"JAK3",3.11757869160385,1.41066673265765,1.7069119589462
"TCGA-E9-A1RH",9.0851,1.5242,"JAK3",3.33415348412221,1.3358262239405,1.99832726018171
"TCGA-E9-A1RI",3.2979,1.2996,"JAK3",2.10363191571534,1.20138293586405,0.902248979851282
"TCGA-GI-A2C8",4.3754,0.1582,"JAK3",2.42637211405926,0.211884401940305,2.21448771211896
"TCGA-GI-A2C9",2.2116,6.2708,"JAK3",1.68329221852398,2.86211411139865,-1.17882189287467
"TCGA-A7-A0CE",1.8925,1.8242,"EPHB2",1.53231695933277,1.49784225886096,0.0344747004718047
"TCGA-A7-A0CH",2.4874,1.9207,"EPHB2",1.80215184874899,1.54631417920801,0.255837669540986
